Altium Designer Pick and Place Locations
C:\Users\schwarz\AppData\Local\TempReleases\Snapshot\2\Assembly production\pnp-data\foxbms2-master-pnp-data-v1.1.5.txt

========================================================================================================================
File Design Information:

Date:       25-10-22
Time:       11:51
Revision:   Not in VersionControl
Variant:    production
Units used: mm

Designator  Comment                    Layer    Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                          Height(mm) 
R1101       0R                         TopLayer RESC1005X04N                  172.4025     42.8625      90       "SMD Resistor 0R 0402"                                                                                                                               0.4000     
R1102       0R                         TopLayer RESC1005X04N                  188.4363     43.6563      270      "SMD Resistor 0R 0402"                                                                                                                               0.4000     
R1201       2k49                       TopLayer RESC1005X04N                  190.6588     77.4700      180      "SMD Resistor 2k49 0402"                                                                                                                             0.4000     
R1204       120R                       TopLayer RESC1005X04N                  195.1038     77.1525      180      "SMD Resistor 120R 0402"                                                                                                                             0.4000     
R1206       120R                       TopLayer RESC1005X04N                  195.1038     73.3425      180      "SMD Resistor 120R 0402"                                                                                                                             0.4000     
R1209       0R                         TopLayer RESC1005X04N                  195.1038     79.0575      0        "SMD Resistor 0R 0402"                                                                                                                               0.4000     
R1211       0R                         TopLayer RESC1005X04N                  195.1038     75.2475      0        "SMD Resistor 0R 0402"                                                                                                                               0.4000     
R1215       2k49                       TopLayer RESC1005X04N                  192.3788     70.6438      180      "SMD Resistor 2k49 0402"                                                                                                                             0.4000     
R1216       75R                        TopLayer RESC1005X04N                  179.3875     101.4413     270      "SMD Resistor 75R 0402"                                                                                                                              0.4000     
R1217       75R                        TopLayer RESC1005X04N                  173.0375     101.4413     270      "SMD Resistor 75R 0402"                                                                                                                              0.4000     
R1218       75R                        TopLayer RESC1005X04N                  193.0400     101.4413     270      "SMD Resistor 75R 0402"                                                                                                                              0.4000     
R1219       75R                        TopLayer RESC1005X04N                  186.6900     101.4413     270      "SMD Resistor 75R 0402"                                                                                                                              0.4000     
R1220       75R                        TopLayer RESC1005X04N                  190.8175     109.2200     90       "SMD Resistor 75R 0402"                                                                                                                              0.4000     
R1221       11k                        TopLayer RESC1005X04N                  178.9113     79.3750      270      "SMD Resistor 11k 0402"                                                                                                                              0.4000     
R1222       5k1                        TopLayer RESC1005X04N                  190.6588     75.2475      0        "SMD Resistor 5k1 0402"                                                                                                                              0.4000     
R1600       2R                         TopLayer RESC2012X05N                  157.7975     36.6713      90       "SMD Resistor 2R 0805"                                                                                                                               0.5000     
R1605       10k                        TopLayer RESC1005X04N                  168.4338     44.6088      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R1606       10k                        TopLayer RESC1005X04N                  167.3225     44.6088      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R1607       10k                        TopLayer RESC1005X04N                  159.0675     45.4025      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R1608       10k                        TopLayer RESC1005X04N                  160.9463     45.4025      0        "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R3000       5k1                        TopLayer RESC1005X04N                  126.6825     52.2288      0        "SMD Resistor 5k1 0402"                                                                                                                              0.4000     
R3004       5k1                        TopLayer RESC1005X04N                  134.7788     53.1813      0        "SMD Resistor 5k1 0402"                                                                                                                              0.4000     
R3009       5k1                        TopLayer RESC1005X04N                  129.8575     62.2300      270      "SMD Resistor 5k1 0402"                                                                                                                              0.4000     
R3150       22R                        TopLayer PANASONIC_EXB2HV              126.6825     55.2450      180      "SMD Resistor Array 0402 8x"                                                                                                                         0.5500     
R4200       100R                       TopLayer RESC1005X04N                  33.8138      21.2725      90       "SMD Resistor 100R 0402"                                                                                                                             0.4000     
R4201       10k                        TopLayer RESC1005X04N                  34.9250      21.2725      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R4400       100R                       TopLayer RESC1005X04N                  138.5888     22.2250      180      "SMD Resistor 100R 0402"                                                                                                                             0.4000     
R4401       10k                        TopLayer RESC1005X04N                  138.5888     23.3363      0        "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R4402       10k                        TopLayer RESC1005X04N                  130.6513     28.0988      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R4403       10k                        TopLayer RESC1005X04N                  137.4775     28.2575      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R4404       1k5                        TopLayer RESC1005X04N                  133.6675     26.6700      180      "SMD Resistor 1k5 0402"                                                                                                                              0.4000     
R4405       680R                       TopLayer RESC1005X04N                  138.5888     24.4475      180      "SMD Resistor 680R 0402"                                                                                                                             0.4000     
R4406       1k5                        TopLayer RESC1005X04N                  136.0488     26.6700      180      "SMD Resistor 1k5 0402"                                                                                                                              0.4000     
R4407       680R                       TopLayer RESC1005X04N                  138.1125     26.6700      180      "SMD Resistor 680R 0402"                                                                                                                             0.4000     
R4408       0R                         TopLayer RESC1005X04N                  138.5888     28.2575      270      "SMD Resistor 0R 0402"                                                                                                                               0.4000     
R4409       1k5                        TopLayer RESC1005X04N                  135.2550     28.2575      90       "SMD Resistor 1k5 0402"                                                                                                                              0.4000     
R4411       680R                       TopLayer RESC1005X04N                  135.2550     30.1625      270      "SMD Resistor 680R 0402"                                                                                                                             0.4000     
R4412       10k                        TopLayer RESC1005X04N                  133.8262     31.7500      0        "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R4413       10k                        TopLayer RESC1005X04N                  129.8575     21.7488      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R4500       10k                        TopLayer RESC1005X04N                  40.6400      24.6063      180      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R5000       33R                        TopLayer RESC1005X04N                  155.0988     81.2800      270      "SMD Resistor 33R 0402"                                                                                                                              0.4000     
R6101       10k                        TopLayer RESC1005X04N                  154.6225     36.5125      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R6200       100k                       TopLayer RESC1005X04N                  128.5875     92.2338      180      "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R6201       100k                       TopLayer RESC1005X04N                  128.5875     90.9638      180      "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R6202       100k                       TopLayer RESC1005X04N                  128.5875     99.8538      180      "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R6203       100k                       TopLayer RESC1005X04N                  142.5575     90.9638      0        "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R6204       100k                       TopLayer RESC1005X04N                  128.5875     97.3138      180      "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R6205       100k                       TopLayer RESC1005X04N                  119.5388     93.1863      180      "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R6206       100k                       TopLayer RESC1005X04N                  119.3800     102.7113     180      "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R6207       100k                       TopLayer RESC1005X04N                  124.3013     102.7113     180      "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R6300       2k49                       TopLayer RESC1005X04N                  92.0750      93.8213      0        "SMD Resistor 2k49 0402"                                                                                                                             0.4000     
R6301       2k49                       TopLayer RESC1005X04N                  92.0750      92.7100      0        "SMD Resistor 2k49 0402"                                                                                                                             0.4000     
R6400       10k                        TopLayer RESC1005X04N                  58.1025      85.7250      0        "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R6401       10k                        TopLayer RESC1005X04N                  58.1025      84.7725      0        "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R6402       100k                       TopLayer RESC1005X04N                  46.1963      91.2813      180      "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R6405       10k                        TopLayer RESC1005X04N                  38.8938      86.0425      180      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R6406       10k                        TopLayer RESC1005X04N                  46.1963      86.0425      180      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R6407       100R                       TopLayer RESC1005X04N                  56.3563      89.8525      0        "SMD Resistor 100R 0402"                                                                                                                             0.4000     
R6408       100k                       TopLayer RESC1005X04N                  49.6888      83.3438      180      "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R6409       100k                       TopLayer RESC1005X04N                  58.1025      81.9150      0        "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R6410       100k                       TopLayer RESC1005X04N                  58.1025      82.8675      0        "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R6411       100k                       TopLayer RESC1005X04N                  58.1025      83.8200      0        "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R6412       100k                       TopLayer RESC1005X04N                  41.2750      86.5188      90       "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R6600       10k                        TopLayer RESC1005X04N                  179.7050     57.7850      180      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R6601       10k                        TopLayer RESC1005X04N                  181.7688     53.9750      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R6602       0R                         TopLayer RESC1005X04N                  179.7050     56.8325      0        "SMD Resistor 0R 0402"                                                                                                                               0.4000     
R6604       20k                        TopLayer RESC1005X04N                  180.8163     53.9750      90       "SMD Resistor 20k 0402"                                                                                                                              0.4000     
R6605       10k                        TopLayer RESC1005X04N                  170.9738     56.9913      180      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R6607       0R                         TopLayer RESC1005X04N                  175.2600     53.1813      0        "SMD Resistor 0R 0402"                                                                                                                               0.4000     
R6608       220R                       TopLayer RESC1005X04N                  168.4338     59.2138      180      "SMD Resistor 220R 0402"                                                                                                                             0.4000     
R7000       5k6                        TopLayer RESC1005X04N                  29.8450      41.4075      90       "SMD Resistor 5k6 0402"                                                                                                                              0.4000     
R7001       1k91                       TopLayer RESC1005X04N                  31.9088      65.5638      90       "SMD Resistor 1k91 0402"                                                                                                                             0.4000     
R7002       220R                       TopLayer RESC1005X04N                  77.3113      60.6425      90       "SMD Resistor 220R 0402"                                                                                                                             0.4000     
R7003       390R                       TopLayer RESC1005X04N                  37.1475      60.6425      90       "SMD Resistor 390R 0402"                                                                                                                             0.4000     
R7004       5k6                        TopLayer RESC1005X04N                  29.6863      20.3200      90       "SMD Resistor 5k6 0402"                                                                                                                              0.4000     
R7005       10k                        TopLayer RESC1005X04N                  25.0825      14.6050      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R7006       10k                        TopLayer RESC1005X04N                  28.2575      41.4338      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R7007       220R                       TopLayer RESC1005X04N                  132.8738     81.1213      270      "SMD Resistor 220R 0402"                                                                                                                             0.4000     
R7008       866R                       TopLayer RESC1005X04N                  28.2575      39.3700      90       "SMD Resistor 866R 0402"                                                                                                                             0.4000     
R7115       0R                         TopLayer RESC6331X07N                  28.7338      63.1825      90       "SMD Resistor 0R 2512"                                                                                                                               0.7000     
R7200       10k                        TopLayer RESC1005X04N                  80.3275      45.0850      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R7201       10k                        TopLayer RESC1005X04N                  79.2163      45.0850      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R7202       100R                       TopLayer RESC1005X04N                  86.5188      44.2913      90       "SMD Resistor 100R 0402"                                                                                                                             0.4000     
R7203       10k                        TopLayer RESC1005X04N                  85.2488      45.0850      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R7204       10k                        TopLayer RESC1005X04N                  83.9788      45.0850      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R7205       20k                        TopLayer RESC1005X04N                  80.3275      42.8625      90       "SMD Resistor 20k 0402"                                                                                                                              0.4000     
R7206       1k91                       TopLayer RESC1005X04N                  79.2163      42.8625      90       "SMD Resistor 1k91 0402"                                                                                                                             0.4000     
R7208       26k7                       TopLayer RESC1005X04N                  85.2488      42.8888      90       "SMD Resistor 26k7 0402"                                                                                                                             0.4000     
R7209       4k7                        TopLayer RESC1005X04N                  83.9788      42.8888      90       "SMD Resistor 4k7 0402"                                                                                                                              0.4000     
R7210       4k7                        TopLayer RESC1005X04N                  97.7900      58.4200      180      "SMD Resistor 4k7 0402"                                                                                                                              0.4000     
R7211       0R                         TopLayer RESC1005X04N                  59.8488      47.9425      180      "SMD Resistor 0R 0402"                                                                                                                               0.4000     
R7212       10k                        TopLayer RESC1005X04N                  40.1638      45.0850      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R7213       10k                        TopLayer RESC1005X04N                  39.0525      45.0850      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R7214       100R                       TopLayer RESC1005X04N                  46.3550      44.2913      90       "SMD Resistor 100R 0402"                                                                                                                             0.4000     
R7215       10k                        TopLayer RESC1005X04N                  43.8150      45.0850      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R7216       10k                        TopLayer RESC1005X04N                  45.0850      45.0850      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R7217       3k24                       TopLayer RESC1005X04N                  40.1638      42.8625      90       "SMD Resistor 3k24 0402"                                                                                                                             0.4000     
R7218       1k91                       TopLayer RESC1005X04N                  39.0525      42.8625      90       "SMD Resistor 1k91 0402"                                                                                                                             0.4000     
R7220       20k                        TopLayer RESC1005X04N                  43.8150      42.8625      90       "SMD Resistor 20k 0402"                                                                                                                              0.4000     
R7221       1k91                       TopLayer RESC1005X04N                  45.0850      42.8625      90       "SMD Resistor 1k91 0402"                                                                                                                             0.4000     
R7222       6k98                       TopLayer RESC1005X04N                  57.6263      58.4200      180      "SMD Resistor 6k98 0402"                                                                                                                             0.4000     
R7223       100k                       TopLayer RESC1005X04N                  35.4013      34.9250      180      "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R7224       10k                        TopLayer RESC1005X04N                  36.0363      40.0050      180      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R7225       100k                       TopLayer RESC1005X04N                  39.0525      34.9250      0        "SMD Resistor 100k 0402"                                                                                                                             0.4000     
R8000       330R                       TopLayer RESC1608X05N                  152.8763     16.9862      90       "SMD Resistor 330R 0603"                                                                                                                             0.4500     
R8001       10k                        TopLayer RESC1005X04N                  150.9713     27.6225      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R8002       5k6                        TopLayer RESC1005X04N                  154.6225     19.2088      270      "SMD Resistor 5k6 0402"                                                                                                                              0.4000     
R8003       10k                        TopLayer RESC1005X04N                  150.9713     24.2888      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R8004       3k9                        TopLayer RESC1005X04N                  156.0513     19.6850      180      "SMD Resistor 3k9 0402"                                                                                                                              0.4000     
R8005       10k                        TopLayer RESC1005X04N                  149.7013     24.2888      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R8006       10k                        TopLayer RESC1005X04N                  148.7488     27.6225      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R8007       10k                        TopLayer RESC1005X04N                  148.7488     24.2888      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R8008       10k                        TopLayer RESC1005X04N                  145.2563     16.8275      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R8009       10k                        TopLayer RESC1005X04N                  153.1938     27.6225      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R8010       5k6                        TopLayer RESC1005X04N                  157.6388     16.6688      270      "SMD Resistor 5k6 0402"                                                                                                                              0.4000     
R8011       2k49                       TopLayer RESC1005X04N                  146.8438     24.2888      90       "SMD Resistor 2k49 0402"                                                                                                                             0.4000     
R8012       2k49                       TopLayer RESC1005X04N                  147.7963     24.2888      90       "SMD Resistor 2k49 0402"                                                                                                                             0.4000     
R8013       3k9                        TopLayer RESC1005X04N                  157.0038     18.0975      0        "SMD Resistor 3k9 0402"                                                                                                                              0.4000     
R8014       10R                        TopLayer RESC1005X04N                  158.5913     16.6688      270      "SMD Resistor 10R 0402"                                                                                                                              0.4000     
R8015       10k                        TopLayer RESC1005X04N                  155.4163     27.6225      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R8016       2R                         TopLayer RESC2012X05N                  159.0675     14.6050      0        "SMD Resistor 2R 0805"                                                                                                                               0.5000     
R8017       10R                        TopLayer RESC1005X04N                  159.5438     16.6688      270      "SMD Resistor 10R 0402"                                                                                                                              0.4000     
R8018       1k                         TopLayer RESC1005X04N                  162.7188     23.1775      180      "SMD Resistor 1k 0402"                                                                                                                               0.4000     
R8019       22k1                       TopLayer RESC1005X04N                  166.8463     22.0663      180      "SMD Resistor 22k1 0402"                                                                                                                             0.4000     
R8020       10k                        TopLayer RESC1005X04N                  163.9888     33.1788      0        "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R8021       240k                       TopLayer RESC1005X04N                  164.5975     23.1775      180      "SMD Resistor 240k 0402"                                                                                                                             0.4000     
R8022       2k49                       TopLayer RESC1005X04N                  166.8463     23.1775      180      "SMD Resistor 2k49 0402"                                                                                                                             0.4000     
R8023       10R                        TopLayer RESC2012X05N                  167.9575     17.4625      270      "SMD Resistor 10R 0805"                                                                                                                              0.5000     
R8024       10k                        TopLayer RESC1005X04N                  160.0200     32.7288      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R8025       330R                       TopLayer RESC1005X04N                  161.1313     32.7288      90       "SMD Resistor 330R 0402"                                                                                                                             0.4000     
R8026       0R                         TopLayer RESC1005X04N                  152.0825     31.2738      270      "SMD Resistor 0R 0402"                                                                                                                               0.4000     
R8027       0R                         TopLayer RESC1005X04N                  150.9713     31.2738      270      "SMD Resistor 0R 0402"                                                                                                                               0.4000     
R1103_1     10k                        TopLayer RESC1005X04N                  173.0375     47.4663      180      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R1103_2     10k                        TopLayer RESC1005X04N                  190.9763     43.6563      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R1104_1     10k                        TopLayer RESC1005X04N                  178.5938     47.4663      0        "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R1104_2     10k                        TopLayer RESC1005X04N                  190.0238     43.6563      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R1105_1     10k                        TopLayer RESC1005X04N                  181.7688     45.0850      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R1105_2     10k                        TopLayer RESC1005X04N                  197.1675     39.2113      90       "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R1107_1     0R                         TopLayer RESC1005X04N                  180.8163     45.0850      270      "SMD Resistor 0R 0402"                                                                                                                               0.4000     
R1107_2     0R                         TopLayer RESC1005X04N                  196.2150     39.2113      270      "SMD Resistor 0R 0402"                                                                                                                               0.4000     
R1108_1     0R                         TopLayer RESC1005X04N                  179.8638     45.0850      270      "SMD Resistor 0R 0402"                                                                                                                               0.4000     
R1108_2     0R                         TopLayer RESC1005X04N                  195.2625     39.2113      270      "SMD Resistor 0R 0402"                                                                                                                               0.4000     
R1110_1     120R                       TopLayer RESC3216X06N                  180.0225     30.0038      180      "SMD Resistor 120R 1206"                                                                                                                             0.6000     
R1110_2     120R                       TopLayer RESC3216X06N                  195.4213     24.1300      180      "SMD Resistor 120R 1206"                                                                                                                             0.6000     
R1111_1     120R                       TopLayer RESC3216X06N                  180.0225     27.6225      180      "SMD Resistor 120R 1206"                                                                                                                             0.6000     
R1111_2     120R                       TopLayer RESC3216X06N                  195.4213     21.7488      180      "SMD Resistor 120R 1206"                                                                                                                             0.6000     
R1112_1     120R                       TopLayer RESC3216X06N                  180.0225     25.2413      180      "SMD Resistor 120R 1206"                                                                                                                             0.6000     
R1112_2     120R                       TopLayer RESC3216X06N                  195.4213     19.3675      180      "SMD Resistor 120R 1206"                                                                                                                             0.6000     
R1113_1     120R                       TopLayer RESC3216X06N                  180.0225     22.8600      180      "SMD Resistor 120R 1206"                                                                                                                             0.6000     
R1113_2     120R                       TopLayer RESC3216X06N                  195.4213     16.9862      180      "SMD Resistor 120R 1206"                                                                                                                             0.6000     
R1114_1     10k                        TopLayer RESC1005X04N                  170.6563     42.0688      0        "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R1115_1     100R                       TopLayer RESC1005X04N                  171.2913     36.9888      0        "SMD Resistor 100R 0402"                                                                                                                             0.4000     
R1116_1     10k                        TopLayer RESC1005X04N                  171.9263     35.4013      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R1116_2     10k                        TopLayer RESC1005X04N                  187.3250     29.5275      270      "SMD Resistor 10k 0402"                                                                                                                              0.4000     
R4203_1     5k6                        TopLayer RESC1005X04N                  37.4650      15.7163      270      "SMD Resistor 5k6 0402"                                                                                                                              0.4000     
R4203_2     5k6                        TopLayer RESC1005X04N                  48.4188      15.7163      270      "SMD Resistor 5k6 0402"                                                                                                                              0.4000     
R4203_3     5k6                        TopLayer RESC1005X04N                  59.3725      15.7163      270      "SMD Resistor 5k6 0402"                                                                                                                              0.4000     
R4203_4     5k6                        TopLayer RESC1005X04N                  70.4850      15.7163      270      "SMD Resistor 5k6 0402"                                                                                                                              0.4000     
R4203_5     5k6                        TopLayer RESC1005X04N                  81.4388      15.7163      270      "SMD Resistor 5k6 0402"                                                                                                                              0.4000     
R4203_6     5k6                        TopLayer RESC1005X04N                  92.3925      15.7163      270      "SMD Resistor 5k6 0402"                                                                                                                              0.4000     
R4203_7     5k6                        TopLayer RESC1005X04N                  103.5050     15.7163      270      "SMD Resistor 5k6 0402"                                                                                                                              0.4000     
R4203_8     5k6                        TopLayer RESC1005X04N                  114.4588     15.7163      270      "SMD Resistor 5k6 0402"                                                                                                                              0.4000     
R4205_1     2k49                       TopLayer RESC1005X04N                  38.5763      15.7163      90       "SMD Resistor 2k49 0402"                                                                                                                             0.4000     
R4205_2     2k49                       TopLayer RESC1005X04N                  49.5300      15.7163      90       "SMD Resistor 2k49 0402"                                                                                                                             0.4000     
R4205_3     2k49                       TopLayer RESC1005X04N                  60.4838      15.7163      90       "SMD Resistor 2k49 0402"                                                                                                                             0.4000     
